date,symbol,open,close,low,high,volume
2/18/2015,A,41.119999,41.540001,40.91,42.200001,9007200
2/19/2015,A,41.400002,41.150002,41.040001,41.57,3737300
2/20/2015,A,41.09,41.950001,40.880001,42.110001,2971900
2/23/2015,A,41.889999,41.73,41.490002,41.959999,1967900
2/24/2015,A,41.619999,42.060001,41.599998,42.110001,1922100
2/25/2015,A,42.34,42.200001,42.09,42.490002,2343500
2/26/2015,A,42.23,42.360001,42,42.380001,1505300
2/27/2015,A,42.299999,42.209999,42.049999,42.360001,1676400
3/2/2015,A,42.34,42.700001,42.34,42.740002,1847100
3/3/2015,A,42.450001,42.259998,42.139999,42.57,1635400
3/4/2015,A,41.950001,42,41.73,42.16,1306000
3/5/2015,A,41.990002,42.220001,41.84,42.240002,1376500
3/6/2015,A,41.950001,41.529999,41.490002,42.049999,1528600
3/9/2015,A,41.540001,41.740002,41.439999,41.889999,1492400
3/10/2015,A,41.220001,40.630001,40.630001,41.27,1961300
3/11/2015,A,40.790001,40.849998,40.669998,41.130001,2064400
3/12/2015,A,40.990002,41.099998,40.970001,41.240002,2719900
3/13/2015,A,40.959999,40.869999,40.52,41.459999,4704600
3/16/2015,A,41.16,41.810001,41.110001,41.830002,2551400
3/17/2015,A,41.52,41.580002,41.060001,41.689999,1504900
3/18/2015,A,41.450001,42.119999,41.169998,42.380001,1295600
3/19/2015,A,42.049999,42.209999,41.82,42.25,1085700
3/20/2015,A,42.389999,42.209999,42.200001,42.529999,2315500
3/23/2015,A,42.119999,42.200001,42,42.439999,1835400
3/24/2015,A,42.130001,41.09,41.009998,42.130001,3626000
3/25/2015,A,41.169998,40.810001,40.790001,41.700001,2776200
3/26/2015,A,40.68,40.700001,40.369999,40.970001,1573400
3/27/2015,A,40.599998,41.110001,40.580002,41.18,1932700
3/30/2015,A,41.52,41.720001,41.32,41.860001,2064200
3/31/2015,A,41.279999,41.549999,41.099998,41.779999,1659200
4/1/2015,A,41.459999,41.389999,40.720001,41.52,2170300
4/2/2015,A,41.470001,42.049999,41.330002,42.130001,2135900
4/6/2015,A,41.68,41.93,41.509998,42.200001,2379800
4/7/2015,A,41.939999,42.439999,41.869999,42.52,3072400
4/8/2015,A,42.43,42.259998,42.029999,42.59,2442800
4/9/2015,A,42.16,42.490002,42.07,42.59,1332300
4/10/2015,A,42.799999,43.549999,42.57,43.560001,3370600
4/13/2015,A,43.59,43.040001,42.990002,43.59,3708600
4/14/2015,A,42.959999,43.07,42.580002,43.200001,1777700
4/15/2015,A,43.279999,43.380001,43.18,43.560001,1445600
4/16/2015,A,43.139999,43.130001,43.060001,43.360001,1070200
4/17/2015,A,42.740002,42.98,42.599998,43.049999,2332500
4/20/2015,A,43.330002,43.189999,43.150002,43.439999,1410600
4/21/2015,A,43.419998,42.889999,42.869999,43.5,1719700
4/22/2015,A,42.720001,42.709999,42.369999,42.84,2726100
4/23/2015,A,42.419998,42.619999,42.240002,42.860001,3972800
4/24/2015,A,42.709999,42.490002,42.419998,42.810001,2200200
4/27/2015,A,42.740002,41.98,41.970001,42.77,2297800
4/28/2015,A,41.869999,42.18,41.57,42.310001,1803500
4/29/2015,A,42.040001,41.959999,41.439999,42.200001,2161000
4/30/2015,A,41.830002,41.369999,41.110001,41.939999,1726300
5/1/2015,A,41.41,41.830002,41.240002,41.93,1880200
5/4/2015,A,41.880001,41.939999,41.700001,42.080002,1073800
5/5/2015,A,41.720001,41.59,41.459999,41.849998,1254800
5/6/2015,A,41.860001,41.59,41.360001,41.860001,934600
5/7/2015,A,41.59,41.799999,41.310001,41.849998,999700
5/8/2015,A,42.23,42.5,42.209999,42.529999,1033800
5/11/2015,A,42.389999,42.619999,42.389999,42.830002,975500
5/12/2015,A,42.360001,41.91,41.5,42.5,2617800
5/13/2015,A,42.049999,41.810001,41.709999,42.389999,1992800
5/14/2015,A,42.18,42.049999,41.869999,42.23,2883700
5/15/2015,A,42.139999,42.040001,41.990002,42.259998,2147400
5/18/2015,A,42.049999,42.630001,41.98,42.700001,1966100
5/19/2015,A,41.57,42.369999,41.5,42.830002,5277300
5/20/2015,A,42.5,42.610001,42.43,42.84,2652300
5/21/2015,A,42.57,42.32,42.200001,42.73,2126300
5/22/2015,A,42.27,42.5,42.07,42.669998,1484800
5/26/2015,A,42.48,42.060001,41.990002,42.630001,1919600
5/27/2015,A,42.27,42.610001,42.099998,42.93,2506300
5/28/2015,A,42.450001,41.75,41.349998,42.709999,3347400
5/29/2015,A,41.790001,41.189999,40.82,41.830002,5022600
6/1/2015,A,41.43,40.919998,40.849998,41.43,2440000
6/2/2015,A,40.939999,41.110001,40.669998,41.139999,2947500
6/3/2015,A,41.310001,41.099998,40.939999,41.360001,2722100
6/4/2015,A,40.889999,40.540001,40.009998,41.080002,4091900
6/5/2015,A,40.540001,40.310001,40.200001,40.669998,1760300
6/8/2015,A,40.259998,39.950001,39.91,40.349998,1353000
6/9/2015,A,39.93,40.119999,39.830002,40.330002,1439000
6/10/2015,A,40.400002,40.52,40.27,40.59,1789300
6/11/2015,A,40.57,40.529999,40.290001,40.599998,1577000
6/12/2015,A,40.330002,39.84,39.740002,40.490002,2769600
6/15/2015,A,39.630001,39.52,39.25,39.630001,2361900
6/16/2015,A,39.59,39.790001,39.380001,39.810001,1422600
6/17/2015,A,39.759998,39.599998,39.32,39.799999,1519400
6/18/2015,A,39.799999,39.900002,39.720001,40.060001,1865000
6/19/2015,A,39.799999,39.490002,39.490002,39.939999,2658800
6/22/2015,A,39.810001,39.810001,39.73,40.009998,3909300
6/23/2015,A,39.889999,39.599998,39.419998,39.950001,2053600
6/24/2015,A,39.470001,40.189999,39.029999,40.450001,6127700
6/25/2015,A,39.799999,40.049999,39.380001,40.52,5265800
6/26/2015,A,40,40.02,39.779999,40.169998,3350500
6/29/2015,A,39.599998,38.740002,38.740002,39.799999,2516400
6/30/2015,A,39.080002,38.580002,38.48,39.189999,3037400
7/1/2015,A,38.889999,39.259998,38.75,39.299999,4486400
7/2/2015,A,39.360001,39.580002,39.150002,39.639999,2160800
7/6/2015,A,39.110001,39.360001,39.080002,39.66,2509400
7/7/2015,A,39.529999,39.790001,39.139999,39.790001,2927800
7/8/2015,A,39.48,38.75,38.709999,39.48,3391000
7/9/2015,A,39.27,38.919998,38.91,39.330002,2237900
7/10/2015,A,39.290001,39.400002,39.16,39.439999,2107100
7/13/2015,A,39.720001,39.959999,39.540001,40,1579700
7/14/2015,A,40.049999,40.490002,39.889999,40.66,2800900
7/15/2015,A,40.419998,40.130001,40.02,40.52,2247700
7/16/2015,A,40.360001,40.34,40.119999,40.439999,1826300
7/17/2015,A,40.200001,39.950001,39.84,40.330002,2412400
7/20/2015,A,40.060001,40.060001,39.950001,40.130001,1155200
7/21/2015,A,39.970001,39.57,39.540001,40.009998,1160900
7/22/2015,A,39.290001,40.330002,39.290001,40.419998,2949400
7/23/2015,A,40.369999,40.25,40.009998,40.369999,1708800
7/24/2015,A,40.110001,39.310001,39.220001,40.169998,1844900
7/27/2015,A,39.040001,39.610001,38.610001,39.650002,5261300
7/28/2015,A,40,40.450001,39.5,40.470001,2768200
7/29/2015,A,40.5,40.400002,40.240002,40.73,2014100
7/30/2015,A,40.259998,40.970001,40.07,41.049999,2440400
7/31/2015,A,41.049999,40.950001,40.779999,41.139999,2247700
8/3/2015,A,40.919998,41,40.580002,41.130001,2104200
8/4/2015,A,40.939999,40.619999,40.549999,41.349998,1448100
8/5/2015,A,40.939999,40.720001,40.689999,41.189999,949500
8/6/2015,A,40.950001,40.119999,39.91,40.959999,1932000
8/7/2015,A,40.139999,39.990002,39.630001,40.209999,1513100
8/10/2015,A,40.240002,40.470001,40.16,40.639999,1554500
8/11/2015,A,40.189999,39.419998,39.299999,40.189999,1575700
8/12/2015,A,39.049999,38.889999,38.27,39.110001,3431000
8/13/2015,A,38.939999,38.560001,38.459999,38.939999,2848900
8/14/2015,A,38.619999,38.650002,38.32,38.73,2632700
8/17/2015,A,38.360001,38.82,38.119999,39.02,3302100
8/18/2015,A,39.110001,39.02,39,40.349998,6416900
8/19/2015,A,38.689999,38.400002,38.299999,38.810001,2729000
8/20/2015,A,38.009998,37.509998,37.5,38.310001,2144600
8/21/2015,A,37.130001,36.23,36.169998,37.490002,3827500
8/24/2015,A,33.869999,34.68,33.57,36.009998,4115000
8/25/2015,A,35.68,34.360001,34.299999,36.169998,3802700
8/26/2015,A,35.360001,35.619999,34.470001,35.700001,3233800
8/27/2015,A,36.169998,36.639999,35.889999,36.669998,2406300
8/28/2015,A,36.450001,36.509998,36.150002,36.66,1783600
8/31/2015,A,36.439999,36.310001,35.950001,36.549999,2554700
9/1/2015,A,35.299999,34.75,34.57,35.580002,2953900
9/2/2015,A,35.330002,35.529999,34.880001,35.529999,2118300
9/3/2015,A,35.610001,35.75,35.529999,36.119999,2140400
9/4/2015,A,35.040001,35.060001,34.900002,35.509998,2819000
9/8/2015,A,35.82,36.209999,35.509998,36.25,1787400
9/9/2015,A,36.5,35.540001,35.439999,36.799999,1885300
9/10/2015,A,35.610001,35.860001,35.439999,36.040001,1628700
9/11/2015,A,35.66,35.959999,35.439999,35.959999,1443300
9/14/2015,A,35.919998,35.549999,35.32,36.09,2223300
9/15/2015,A,35.75,36.150002,35.509998,36.299999,1752700
9/16/2015,A,36.150002,36.52,36.060001,36.869999,2130100
9/17/2015,A,36.630001,36.400002,36.290001,36.990002,1819100
9/18/2015,A,35.860001,35.740002,35.59,36.220001,3352300
9/21/2015,A,35.959999,35.689999,35.41,36.07,2640200
9/22/2015,A,35.189999,35.049999,34.939999,35.330002,2283300
9/23/2015,A,35.099998,34.950001,34.810001,35.240002,1962600
9/24/2015,A,34.560001,34.549999,34.150002,34.639999,2028900
9/25/2015,A,34.700001,34.450001,34.099998,35.02,2730700
9/28/2015,A,34.130001,33.369999,33.32,34.27,2615400
9/29/2015,A,33.360001,33.740002,33.240002,34.060001,2252400
9/30/2015,A,34.080002,34.330002,33.669998,34.43,2545700
10/1/2015,A,34.32,33.740002,33.48,34.48,3011400
10/2/2015,A,33.18,34.669998,33.119999,34.68,3519400
10/5/2015,A,35.040001,35.34,34.84,35.389999,1675400
10/6/2015,A,35.130001,34.900002,34.529999,35.209999,1833700
10/7/2015,A,35.200001,35.540001,35.099998,35.779999,3085400
10/8/2015,A,35.389999,36.009998,35.34,36.07,2597900
10/9/2015,A,35.939999,36.23,35.880001,36.34,3232900
10/12/2015,A,36.080002,35.990002,35.860001,36.18,1349900
10/13/2015,A,35.759998,35.630001,35.529999,36.240002,2383200
10/14/2015,A,35.639999,35.049999,34.970001,35.77,1647400
10/15/2015,A,35.119999,35.580002,34.790001,35.68,1433000
10/16/2015,A,35.689999,35.779999,35.369999,36.02,1754300
10/19/2015,A,35.689999,36.23,35.59,36.23,3685800
10/20/2015,A,36.110001,36.32,36.029999,36.52,2573300
10/21/2015,A,36.540001,35.900002,35.799999,36.599998,2886400
10/22/2015,A,36.029999,36.09,36,36.950001,3696200
10/23/2015,A,36.5,37.110001,36.18,37.27,2732600
10/26/2015,A,36.98,36.830002,36.689999,37.110001,1948400
